序号,等级原文,主等级,兼属等级,等级组,词语,拼音,词性,PDF页码
297,1,1,,初等,昨天,zuótiān,名,87
298,1,1,,初等,坐,zuò,动,87
299,1,1,,初等,做,zuò,动,87
300,1,1,,初等,做饭,zuò fàn,,87
301,2,2,,初等,啊,a,助,87
302,2,2,,初等,爱好,àihào,动、名,87
303,2,2,,初等,白色,báisè,名,87
304,2（5）,2,5,初等,班,bān,名、（量）,87
305,2,2,,初等,帮,bāng,动,87
306,2,2,,初等,帮忙,bāngmáng,动,87
307,2,2,,初等,包,bāo,动、名、量,87
308,2,2,,初等,本子,běnzi,名,87
309,2,2,,初等,比,bǐ,动、介,87
310,2（5）,2,5,初等,笔,bǐ,名、（量）,87
311,2,2,,初等,别1,bié,副,87
312,2,2,,初等,不错,búcuò,形,87
313,2,2,,初等,不好意思,bù hǎoyìsi,,87
314,2,2,,初等,长,cháng,形,87
315,2,2,,初等,车站,chēzhàn,名,87
316,2,2,,初等,出,chū,动,87
317,2,2,,初等,出国,chūguó,动,87
318,2,2,,初等,出来,chūlái,动,87
319,2,2,,初等,出门,chūmén,动,87
320,2,2,,初等,出去,chūqù,动,87
321,2,2,,初等,床,chuáng,名,88
322,2,2,,初等,词,cí,名,88
323,2（7-9）,2,7-9,初等,次,cì,量、（形）,88
324,2（4）,2,4,初等,从,cóng,介、（副）,88
325,2,2,,初等,从小,cóngxiǎo,副,88
326,2,2,,初等,错,cuò,形,88
327,2,2,,初等,打1,dǎ,动,88
328,2,2,,初等,打车,dǎchē,动,88
329,2,2,,初等,打开,dǎkāi,动,88
330,2（7-9）,2,7-9,初等,但,dàn,连、（副）,88
331,2,2,,初等,但是,dànshì,连,88
332,2,2,,初等,得,de,助,88
333,2,2,,初等,地,de,助,88
334,2（4）,2,4,初等,等1,děng,动、（介）,88
335,2,2,,初等,地铁,dìtiě,名,88
336,2（4）,2,4,初等,点2,diǎn,动、（名、量）,88
337,2,2,,初等,懂,dǒng,动,88
338,2,2,,初等,动,dòng,动,88
339,2,2,,初等,饭馆,fànguǎn,名,88
340,2,2,,初等,飞,fēi,动,88
341,2,2,,初等,高,gāo,形、名,88
342,2,2,,初等,高中,gāozhōng,名,88
343,2,2,,初等,告诉,gàosu,动,88
344,2,2,,初等,个子,gèzi,名,88
345,2（5）,2,5,初等,跟,gēn,介、连、（名、动）,88
346,2,2,,初等,公交车,gōngjiāochē,名,88
347,2,2,,初等,过,guò,动,88
348,2,2,,初等,过来,guòlái,动,88
349,2,2,,初等,过年,guònián,动,88
350,2,2,,初等,过去1,guòqù,动,88
351,2,2,,初等,过,guo,助,88
352,2,2,,初等,还是,háishi,副、连,88
353,2,2,,初等,黑色,hēisè,名,88
354,2,2,,初等,红茶,hóngchá,名,88
355,2,2,,初等,红色,hóngsè,名,88
356,2,2,,初等,后面,hòumiàn,名,88
357,2,2,,初等,花1,huā,动,88
358,2（6）,2,6,初等,花2,huā,名、（形）,88
359,2,2,,初等,画,huà,动、名,88
360,2,2,,初等,坏,huài,形,88
361,2,2,,初等,回来,huílái,动,89
362,2,2,,初等,回去,huíqù,动,89
363,2,2,,初等,机场,jīchǎng,名,89
364,2,2,,初等,机票,jīpiào,名,89
365,2,2,,初等,记得,jìde,动,89
366,2（4）,2,4,初等,间,jiān,量、（名）,89
367,2,2,,初等,教,jiāo,动,89
368,2,2,,初等,教室,jiàoshì,名,89
369,2,2,,初等,介绍,jièshào,动,89
370,2,2,,初等,进,jìn,动,89
371,2,2,,初等,近,jìn,形,89
372,2,2,,初等,进来,jìnlái,动,89
373,2,2,,初等,进去,jìnqù,动,89
374,2,2,,初等,经常,jīngcháng,副,89
375,2,2,,初等,酒店,jiǔdiàn,名,89
376,2（7-9）,2,7-9,初等,就,jiù,副、（介）,89
377,2,2,,初等,咖啡,kāfēi,名,89
378,2,2,,初等,开始,kāishǐ,动、名,89
379,2,2,,初等,开学,kāixué,动,89
380,2,2,,初等,考,kǎo,动,89
381,2,2,,初等,考试,kǎoshì,动、名,89
382,2,2,,初等,可能,kěnéng,形、名、动,89
383,2,2,,初等,裤子,kùzi,名,89
384,2,2,,初等,快,kuài,形、副,89
385,2,2,,初等,快乐,kuàilè,形,89
386,2,2,,初等,快要,kuàiyào,副,89
387,2,2,,初等,篮球,lánqiú,名,89
388,2,2,,初等,累,lèi,形、动,89
389,2,2,,初等,离,lí,动,89
390,2,2,,初等,里面,lǐmiàn,名,89
391,2,2,,初等,楼,lóu,名,89
392,2,2,,初等,路,lù,名,89
393,2,2,,初等,路上,lùshang,名,89
394,2,2,,初等,旅游,lǚyóu,动,89
395,2,2,,初等,绿茶,lǜchá,名,89
396,2（4）,2,4,初等,绿色,lǜsè,名、（形）,89
397,2,2,,初等,慢,màn,形,89
398,2,2,,初等,没意思,méi yìsi,,89
399,2（4）,2,4,初等,每,měi,代、（副）,89
400,2,2,,初等,门,mén,名,89
401,2,2,,初等,门口,ménkǒu,名,90
402,2,2,,初等,门票,ménpiào,名,90
403,2（5）,2,5,初等,面1,miàn,后缀、（动、名、量）,90
404,2,2,,初等,名,míng,名、量,90
405,2,2,,初等,拿,ná,动,90
406,2,2,,初等,那么,nàme,代、连,90
407,2,2,,初等,那样,nàyàng,代,90
408,2,2,,初等,奶茶,nǎichá,名,90
409,2,2,,初等,奶奶,nǎinai,名,90
410,2,2,,初等,男孩儿,nánháir,名,90
411,2,2,,初等,鸟,niǎo,名,90
412,2,2,,初等,女孩儿,nǚháir,名,90
413,2,2,,初等,旁边,pángbiān,名,90
414,2,2,,初等,跑,pǎo,动,90
415,2,2,,初等,跑步,pǎobù,动,90
416,2,2,,初等,票,piào,名,90
417,2,2,,初等,妻子,qīzi,名,90
