字段名,类别,初始顺序,筛选状态,筛选原因,零值比例,标准差,相关变量,相关系数,MSA,共同度
状态词每千字,词性,106,删除,选定模型中共同度<0.30,0.7870967741935484,1.514591847207023,,,0.6096602018031112,0.03911538451238744
拟声词每千字,词性,108,删除,零值比例≥95%,0.9774193548387097,0.622702358162245,,,,
叹词每千字,词性,110,删除,零值比例≥95%,0.9854838709677419,0.32526718378152614,,,,
熟语每千字,词性,112,删除,选定模型中共同度<0.30,0.867741935483871,1.9632184750584356,,,0.7793425665041477,0.2735685066265778
标点每千字,词性,114,删除,与保留变量绝对相关系数≥0.85,0.0,19.661778215667013,分句每千字,0.8536912998562639,,
其他词性_prefix每千字,词性,116,删除,选定模型中共同度<0.30,0.9225806451612903,0.9376596196836511,,,0.7000033306906941,0.05851710310826435
其他词性_string每千字,词性,118,删除,零值比例≥95%,0.9983870967741936,0.09427456912001161,,,,
其他词性_空每千字,词性,120,删除,变量级MSA<0.50,0.9370967741935484,0.8227387934806669,,,0.06814822971446667,
第一人称单数代词每千字,语法标记,122,最终保留,进入最终MF/MD模型,0.14193548387096774,22.170995718994934,,,0.8804126104688191,0.5102423725677954
第一人称复数代词每千字,语法标记,124,删除,变量级MSA<0.50,0.4854838709677419,6.506885414914066,,,0.39670392880085215,
其他第一人称代词每千字,语法标记,126,删除,选定模型中共同度<0.30,0.42096774193548386,4.167515799768175,,,0.6832773828312024,0.07112861908075725
第二人称代词每千字,语法标记,128,删除,变量级MSA<0.50,0.7629032258064516,3.741412809810786,,,0.44941977530531535,
第三人称代词每千字,语法标记,130,最终保留,进入最终MF/MD模型,0.19032258064516128,12.668381105161892,,,0.7372719076188475,0.3490369060839114
非人第三人称代词每千字,语法标记,132,删除,选定模型中共同度<0.30,0.8467741935483871,1.3925177328687552,,,0.5956110498334273,0.01830291957647448
指示代词每千字,语法标记,134,删除,变量级MSA<0.50,0.0467741935483871,5.9328526591930695,,,0.16693792718609868,
不定代词每千字,语法标记,136,删除,选定模型中共同度<0.30,0.6096774193548387,2.6855927676951006,,,0.7929608554657891,0.10783729034738396
疑问代词每千字,语法标记,138,删除,选定模型中共同度<0.30,0.4774193548387097,3.721729457123454,,,0.8452710663098265,0.10879792324067379
情态动词每千字,语法标记,140,最终保留,进入最终MF/MD模型,0.05,8.4170620394626,,,0.8478616958550905,0.3757881194447508
否定词每千字,语法标记,142,删除,选定模型中共同度<0.30,0.0467741935483871,6.979972892425162,,,0.8137128458421083,0.24758304587500884
时态助词了每千字,语法标记,144,删除,选定模型中共同度<0.30,0.19838709677419356,6.544840477034221,,,0.8113098821011075,0.23633600320508813
时态助词着每千字,语法标记,146,删除,选定模型中共同度<0.30,0.646774193548387,2.596465199825383,,,0.7173197542010599,0.05050064464006108
时态助词过每千字,语法标记,148,删除,选定模型中共同度<0.30,0.6935483870967742,2.0896606249776584,,,0.8022669801341791,0.07545911007092143
结构助词的每千字,语法标记,150,最终保留,进入最终MF/MD模型,0.0,13.394368446994962,,,0.7187562731107477,0.42991522678563715
结构助词地每千字,语法标记,152,删除,变量级MSA<0.50,0.4661290322580645,2.8799178734625674,,,0.3212893191845065,
结构助词得每千字,语法标记,154,删除,选定模型中共同度<0.30,0.635483870967742,2.4847714159535355,,,0.6796592463866784,0.06378538479962788
介词把每千字,语法标记,156,删除,变量级MSA<0.50,0.7370967741935484,1.990718727653736,,,0.4660288836197242,
介词被每千字,语法标记,158,删除,选定模型中共同度<0.30,0.7693548387096775,1.5731642111441924,,,0.5974003713309545,0.04088133084285723
介词对每千字,语法标记,160,删除,选定模型中共同度<0.30,0.13870967741935483,6.001345261953657,,,0.7497219589266503,0.16147292133605623
介词给每千字,语法标记,162,删除,变量级MSA<0.50,0.5790322580645161,2.8140867555741265,,,0.49843230054364684,
介词从每千字,语法标记,164,删除,选定模型中共同度<0.30,0.5145161290322581,2.67591593161476,,,0.5426031640237109,0.06774692527038227
介词向每千字,语法标记,166,删除,选定模型中共同度<0.30,0.9096774193548387,0.9982545697490665,,,0.6830632870050045,0.03802727674580787
语气词吧每千字,语法标记,168,删除,选定模型中共同度<0.30,0.8903225806451613,1.043770972168808,,,0.687922622566645,0.049966566074316765
语气词呢每千字,语法标记,170,删除,变量级MSA<0.50,0.7741935483870968,1.554051508111796,,,0.4614926412663371,
语气词吗每千字,语法标记,172,删除,选定模型中共同度<0.30,0.9129032258064517,0.903288096084551,,,0.5201126381491228,0.011178409931705583
语气词啊每千字,语法标记,174,删除,零值比例≥95%,0.9516129032258065,0.6319311558647934,,,,
因果连接词每千字,篇章连接,178,删除,选定模型中共同度<0.30,0.19193548387096773,4.544075183838356,,,0.7029138083170253,0.11662274848621726
转折连接词每千字,篇章连接,180,删除,选定模型中共同度<0.30,0.34838709677419355,4.236046933770988,,,0.7181454950588718,0.06554829756920967
条件连接词每千字,篇章连接,182,删除,选定模型中共同度<0.30,0.632258064516129,2.2676429884214726,,,0.7353967248975759,0.08006346622876206
递进连接词每千字,篇章连接,184,删除,选定模型中共同度<0.30,0.4806451612903226,3.7363704692894486,,,0.8528516250367973,0.13826203859347874
并列连接词每千字,篇章连接,186,删除,变量级MSA<0.50,0.035483870967741936,6.180409883182826,,,0.21945662168104466,
